method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.06786089788746871,0.9584144250002282,0.9604119560000002,0.9581475219726563,68.42822265625,2.639735537999968,3.5981499630001963,0.326286643743515,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,False,0.6385769605100703,0.05323677002684503,0.09639610109405201,0.17099088841561255,nan,nan,nan,0.04396059290685128,0.03866889710685422,0.1050332605925252,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.16369996193551495,0.9630961780003418,0.9657969370000004,0.9628426513671875,68.04541015625,2.9144050680001783,3.87750124600052,0.5014907717704773,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,3.030082977548325,0.05518248194763088,0.31046065568742237,0.44642916210501726,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.1657655057005508,0.9386130150001009,0.9429251030000003,0.9383621826171875,67.66357421875,2.8870845730002657,3.8256975880003665,0.003957112319767475,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,3.0962518195163145,0.05607225293333984,0.3121253182976377,0.44688393210013627,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.021085281478415947,0.9552123230000689,0.957335864,0.9549556274414063,68.42822265625,2.4406548780002595,3.3958672010003284,0.0020341447088867426,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,0.22615885004435612,0.010533390427618762,0.03484978969514201,0.08478362725164418,nan,nan,nan,0.0205805626980865,0.012325503915943073,0.036664526557923585,u_cmd,direct
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.37459635572915845,0.0,nan,nan,nan,1.6788391800000682,1.6788391800000682,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,3.744350557300309,0.356684776618038,0.40385560578728225,0.612439479393467,nan,nan,nan,0.09217377187060037,0.03928958203307483,0.14708666841293028,u_cmd,mocap
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.2326497470728157,0.11081384099998104,nan,nan,nan,0.3193905050000012,0.43020434599998225,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,4.457155996806379,0.06583900648801087,0.46282288926350984,0.654443704750278,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,1.043556715457293,0.07646222199991826,nan,nan,nan,1.3094701980000991,1.3859324200000174,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,44.58720258287541,0.07152400244410756,0.41872490293221676,0.948613530514952,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.26535921353904496,0.15250724299994545,nan,nan,nan,1.3996581280000555,1.552165371000001,0.0008546932836837035,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.917. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,5.14271373358237,0.07291054772050591,0.541233523595813,0.7233758886295332,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Welch (mocap),Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1330.375194465822,0.9997319490000791,nan,nan,nan,0.1871961619999638,1.186928111000043,nan,28,21182,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,15.863711300002596,1138.8615985206475,668.8035107192359,8275.23957990749,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Subspace-Hankel (mocap),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,1120.7333488004429,7.300406713000029,nan,nan,nan,0.3484338910000133,7.648840604000043,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,7.732336808322321,627.2295287452987,2614.7526874059763,5899.954076336782,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Stitching (mocap),Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,1240.2746893123594,2.283562232000122,nan,nan,nan,1.9037192040000264,4.1872814360001485,11.06031131933606,211,21182,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.917. This tests local frequency-domain stitching, not CIFER.",open_loop,False,552.3037907684195,961.584293031725,1246.9236701571047,7233.538040053508,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EquationError-LS (mocap),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.19806193392171514,0.0150652090001131,nan,nan,nan,1.841646929000035,1.8567121380001481,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,2.94512865890692,0.08151827772048022,0.42047397313487295,0.5393907412634767,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EKF-ParamID (mocap),Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.34868890749701104,0.3223333769999499,nan,nan,nan,1.8224422889998095,2.1447756659997594,0.011204521075992072,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,4.299729011306248,0.18529479750114405,0.8029382512243848,0.7445975432478698,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Symbolic-Stepwise (mocap),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,643.3467731713573,0.9212998650000372,nan,nan,nan,1.84532877200013,2.766628637000167,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,7.253308906015501,726.5243120597855,726.0285602709912,1855.2660890007207,nan,nan,nan,nan,nan,nan,u_cmd,mocap
SINDy (mocap),One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,39.10740541006703,0.293542380999952,nan,nan,nan,5.99974804999988,6.293290430999832,0.33773404987498296,46,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,1510.8746093995794,0.6495083784304272,1.3835520303136253,122.25934450678636,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Variational-Mocap (mocap),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.4416059144293863,2.1029718629999934,nan,nan,nan,1.7430028660000971,3.8459747290000905,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,6.094676992215604,0.2050103421621724,1.1049186656006953,0.8410857220548652,13.00104654525677,9.717838393808464,1.1085506796239357,nan,nan,nan,u_cmd,mocap
OEM-SS (mocap),Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.336284597673641,7.698924302000023,nan,nan,nan,1.5985316260000673,9.29745592800009,31649.311930015374,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,4.192228193140689,0.1728530489322339,0.786469931308439,0.7304644436792337,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-MocapOutput (mocap),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,1.955153024044144,67.73816892499985,nan,nan,nan,0.9324652909999713,68.67063421599983,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,6.906203392960998,1.1827341766749249,7.665344795553657,2.0125494807453816,36.68565288541995,8.583556486906842,7.949039773594651,nan,nan,nan,u_cmd,mocap
GP-CoeffClosure (mocap),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.3178278600614903,2.4320268439998927,nan,nan,nan,3.4072004479999123,5.839227291999805,0.1469921384517853,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=0.1.",open_loop,False,3.4266712654500187,0.29638091747794193,0.33088101948084037,0.5221759181389775,nan,nan,nan,0.07937276284016695,0.1717555724883868,0.12839511718384153,u_cmd,mocap
UDE-Residual (mocap),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.2329610085237991,0.9808044380001775,0.9831151070000006,0.9804491577148438,68.81005859375,2.45256908500005,3.4333735230002276,0.0934528261423111,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=0.1.,open_loop,False,2.6448006043509826,0.18861493516723574,0.3041039889906897,0.46356786222087604,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-CoeffClosure (mocap),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.3291313884876679,0.98509372000035,0.9881664000000003,0.9848287963867187,68.42822265625,2.564779517000261,3.549873237000611,0.052593767642974854,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=0.1.,open_loop,False,3.483713496041011,0.28925556485285303,0.39796414838583155,0.5997297982837713,nan,nan,nan,0.08690283276214522,0.18499977392586806,0.12932335021823504,u_cmd,mocap
UDE-HiddenControl (mocap),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.2230645267244466,1.004281310999886,1.006951312,1.0040198364257813,68.04541015625,2.8163649349999105,3.8206462459997965,0.45576849579811096,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,3.9066769846877984,0.10614928605419832,0.38887657169232487,0.4834685429529942,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-HiddenElevator (mocap),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.22933268468875112,1.0174549379999007,1.0209319500000005,1.0171873168945313,67.66357421875,2.8827729109998472,3.900227848999748,0.00685174809768796,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,4.056175516683133,0.10834732596606732,0.3972256778291174,0.4970674323626827,nan,nan,nan,nan,nan,nan,u_cmd,mocap
NN-CoeffSurrogate (mocap),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.4710334560825254,0.9867416720003348,0.9910219219999998,0.9864658813476562,68.42822265625,2.414565673999732,3.401307346000067,0.002423894824460149,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,4.757330516376248,0.22645663551269907,1.4152549607336724,0.8854435223081931,nan,nan,nan,0.08825684414355961,0.08088031755890318,0.2654352700559386,u_cmd,mocap
