method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
OEM-SS,Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.14069012772832767,2.151039598999887,nan,nan,nan,3.9070849330000783,6.058124531999965,11264.128869452059,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,4.765011318762576,0.03619125720403003,0.3609097548825908,0.31154357057688664,nan,nan,nan,nan,nan,nan,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,645.0972719565776,0.06805975799989028,nan,nan,nan,11.645981046000088,11.714040803999978,0.0020200192787072162,20,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,1826.5555171510964,311.3359844835367,1.5199756311923869,5137.033776616944,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.17589702355874176,0.4378099600000951,nan,nan,nan,7.392365864000112,7.830175824000207,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,5.678568322389162,0.04187347539674039,0.4603795408792101,0.43370608736917604,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,9.358771825949775,61.02775341500001,nan,nan,nan,7.183086108999987,68.210839524,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,6.724918041657392,0.9158703220856352,69.71248793821364,4.88224798505028,340.68233689477626,15.081524781259372,70.27596279072628,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.24980769898493851,2.5314397090000966,nan,nan,nan,13.124660077000044,15.65609978600014,0.32503858218651344,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=1.",open_loop,False,4.27382669756928,0.17085903268504737,0.663243067926208,0.29047856884437395,nan,nan,nan,0.046252319947099926,0.03933080117930354,0.09090633319287902,u_cmd,direct
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.17321762950495723,0.9582955149999179,0.960625136,0.958031982421875,68.81005859375,10.18422938499998,11.142524899999898,0.3330538272857666,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,False,5.298090756521384,0.06380340017625445,0.4073442620069265,0.3706501323902029,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.82646302576857,1.2222572700002274,1.1976539440000007,1.2220032958984375,68.42822265625,10.367434425000283,11.58969169500051,0.32626989483833313,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,False,7.38295539455244,0.18822389735097986,4.808587242638003,0.7449738873650386,nan,nan,nan,0.05118813796980764,0.03567111786867656,0.11110238668616734,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.11617429485132431,0.954847263999909,0.9590040120000003,0.95459033203125,68.04541015625,11.530641042999832,12.485488306999741,0.5008845925331116,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,3.8633705769756004,0.029394557111617474,0.3016900903751556,0.2641369816955843,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.11708382346972132,0.9320450119998895,0.9345639290000003,0.9317845458984375,67.66357421875,11.929593950999788,12.861638962999677,0.005137779284268618,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,3.892979627928384,0.02959783749201992,0.304057693736413,0.2664593170949292,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.06628828615673614,0.957899014999839,0.9600905439999998,0.957635498046875,68.42822265625,9.441443806999814,10.399342821999653,0.001948587247170508,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,1.9690762763812595,0.021978546641725372,0.16078943818866537,0.15891240248253097,nan,nan,nan,0.016948784244778446,0.011695480145824512,0.042918787583692566,u_cmd,direct
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.13098815796982713,0.08123850399988441,nan,nan,nan,0.6134820669999499,0.6947205709998343,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,4.327607498660982,0.03136987770542112,0.333048572332434,0.3233756479126529,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Welch (mocap),Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1668.3053125212562,1.0330913660000078,nan,nan,nan,0.17437795599994388,1.2074693219999517,nan,28,21182,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,14.915171341192863,1295.3704858104886,760.904022098013,9414.13903114782,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Stitching (mocap),Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,1604.4049886144317,2.105518634999953,nan,nan,nan,1.3920031430000108,3.497521777999964,11.06031131933606,211,21182,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.917. This tests local frequency-domain stitching, not CIFER.",open_loop,False,13.344837351263418,1039.289900687046,1686.6938324867356,9152.026592919261,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EKF-ParamID (mocap),Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.1573034922206252,0.30502170700015085,nan,nan,nan,4.1362144879999505,4.441236195000101,0.011204521075992072,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,5.246789526495997,0.037423832508426805,0.41487416490198853,0.3633146096568524,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,21.79897973521338,0.05918600199993307,nan,nan,nan,4.411610129999872,4.470796131999805,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,2034.745698366843,0.6661033281025703,0.7641897979112042,2.791494437824877,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.18056115821426505,0.13261655299993436,nan,nan,nan,4.396746731000121,4.5293632840000555,0.0008546932836837035,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.917. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,6.777711033421202,0.03588463313605411,0.5151293877947195,0.3207276359471337,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EquationError-LS (mocap),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.15829870393767947,0.016388429000016913,nan,nan,nan,6.430973585999936,6.447362014999953,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,5.801221860134384,0.04911770746447579,0.3492686844660669,0.3185020660237258,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.11137540354703118,0.0,nan,nan,nan,6.377911467999866,6.377911467999866,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,3.6384452701165544,0.03949209767252384,0.2661450529703582,0.21506445862740284,nan,nan,nan,0.01825136443636193,0.01051815539752961,0.040929601856855236,u_cmd,mocap
Subspace-Hankel (mocap),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,1687.0596020317623,5.848885456999824,nan,nan,nan,1.2337185069998213,7.082603963999645,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,13.420935749437717,888.1013768732196,3703.2352726480362,8354.686459139162,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Variational-Mocap (mocap),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.850917636846192,0.806754582999929,nan,nan,nan,3.781052303000024,4.587806885999953,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,8.236396000098278,0.18533619752670058,4.993616385390517,0.6894430254818682,86.5749486580452,17.34967674369054,4.98430267597702,nan,nan,nan,u_cmd,mocap
Symbolic-Stepwise (mocap),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,201.55988949182415,0.445277514000054,nan,nan,nan,6.132284033000133,6.577561547000187,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,8.17732167642898,218.03127147322442,218.86638012042366,535.1272122355342,nan,nan,nan,nan,nan,nan,u_cmd,mocap
GP-CoeffClosure (mocap),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.1574483279776021,3.160402073000114,nan,nan,nan,15.79744784200011,18.957849915000224,0.1469921384517853,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=0.1.",open_loop,False,5.000097243485197,0.05447130983633153,0.40209414117510633,0.29475972495043534,nan,nan,nan,0.01905666791820784,0.057142452894851814,0.04123708500300778,u_cmd,mocap
SINDy (mocap),One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,9.740674254436215,0.13233933299989076,nan,nan,nan,9.792019738999898,9.924359071999788,0.33773404987498296,46,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,518.5135318133184,0.667638007746634,0.7031490512759004,45.29233873358545,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-SS (mocap),Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.3557089502117121,2.6040443979998145,nan,nan,nan,3.7865184570000565,6.390562854999871,31649.311930015374,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,6.935349316771316,0.1420753388004481,1.2361742244938099,0.6046372160767828,nan,nan,nan,nan,nan,nan,u_cmd,mocap
UDE-Residual (mocap),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.11557174810754157,1.1245171059999848,1.0213764459999997,1.124234375,68.81005859375,10.391118747999826,11.515635853999811,0.09215258806943893,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=0.1.,open_loop,False,3.855935429005653,0.039578188287474725,0.27830458087760235,0.22019291182918202,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-MocapOutput (mocap),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,9.358771825949775,39.845593048999945,nan,nan,nan,4.694085203999975,44.53967825299992,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,6.724918041657392,0.9158703220856352,69.71248793821364,4.88224798505028,340.68233689477626,15.081524781259372,70.27596279072628,nan,nan,nan,u_cmd,mocap
PINN-CoeffClosure (mocap),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,15.751391891384387,0.9905120830001124,0.9933302849999999,0.9902510375976562,68.42822265625,11.849289508000084,12.839801591000196,0.05454718694090843,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=0.1.,open_loop,False,1399.7825184235376,0.0700286852668603,0.6223454391270091,13.256902280094378,nan,nan,nan,0.020701140965654737,0.12111639469268443,0.042678245373479286,u_cmd,mocap
UDE-HiddenControl (mocap),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.12385876007843227,1.6795832410000457,1.5969016819999995,1.6792117919921874,68.04541015625,21.936723149000045,23.61630639000009,0.45824235677719116,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,4.087277291083657,0.03461508276813537,0.313508045556867,0.2741082186672072,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-HiddenElevator (mocap),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.12458683266576233,1.6402300400000058,1.546080776000001,1.639843505859375,67.66357421875,21.559231052000086,23.199461092000092,0.006391489878296852,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,4.0977021664455595,0.034889517067049236,0.31560696208608163,0.27651316559659245,nan,nan,nan,nan,nan,nan,u_cmd,mocap
NN-CoeffSurrogate (mocap),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.43125409229358586,0.9749162449998039,0.9751124320000004,0.9746541137695313,68.42822265625,15.344200244000149,16.319116488999953,0.002631625859066844,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,7.354997736987015,0.16497738890265423,1.7112261877451023,0.6147783502923317,nan,nan,nan,0.05656579849896001,0.06219587377472296,0.1988960895643279,u_cmd,mocap
